WKT,PFI,UFI,FTYPE_CODE,NFEAT_ID,EZI_RDNAME,EZIRDNMLBL,ROAD_NAME,ROAD_TYPE,RD_SUF,RD_NAME1,RD_TYPE1,RD_SUF1,RD_NAME2,RD_TYPE2,RD_SUF2,RD_NAME3,RD_TYPE3,RD_SUF3,RD_NAME4,RD_TYPE4,RD_SUF4,RD_NAME5,RD_TYPE5,RD_SUF5,RD_NAME6,RD_TYPE6,RD_SUF6,RD_NAME7,RD_TYPE7,RD_SUF7,LEFT_LOC,RIGHT_LOC,CLASS_CODE,DIR_CODE,ROUTE_NO,STRUCTNAME,HT_LIMIT,RESTRICTN,PHYS_COND,CONST_TYPE,ROAD_SEAL,DIV_RD,NRE_ROUTE,FROM_UFI,TO_UFI,FQID,CRDATE_PFI,SUPER_PFI,CRDATE_UFI
"LINESTRING (144.956797069 -37.812537937,144.95688580199999 -37.8127361)",11769099,16235102,road,0,WILLIAM STREET,William St,WILLIAM,STREET,,,,,,,,,,,,,,,,,,,,,,,MELBOURNE,MELBOURNE,3,B,,,0.0,,,,1,U,,16235405,2311496,1272,2006/03/27,5675060,2006/03/27
"LINESTRING (144.96579491500006 -37.807810557999971,144.96653854500005 -37.807594823999978)",11769118,16235121,road,0,MACKENZIE STREET,Mackenzie St,MACKENZIE,STREET,,,,,,,,,,,,,,,,,,,,,,,MELBOURNE,MELBOURNE,5,B,,,0.0,,,,1,U,,2309160,16235364,257,2006/03/27,5672382,2006/03/27
"LINESTRING (144.96702139700005 -37.807454751999956,144.96714926200002 -37.807416700999966,144.96724094600006 -37.807380362,144.96726714099998 -37.807363051999971,144.96728460600002 -37.807340549,144.96730644700006 -37.807307649999984,144.96731737300001 -37.807276487999957,144.96732830400003 -37.80723666599999,144.96734365700001 -37.807133396999973)",11769121,16235124,road,0,MACKENZIE STREET,Mackenzie St,MACKENZIE,STREET,,,,,,,,,,,,,,,,,,,,,,,MELBOURNE,MELBOURNE,5,B,,,0.0,,,,1,U,,2308985,2308815,257,2006/03/27,5672176,2006/03/27
"LINESTRING (144.96734365700001 -37.807133396999973,144.96791726800006 -37.807194847,144.96804938100001 -37.80720900099999)",5672021,16235125,road,0,VICTORIA STREET,Victoria St,VICTORIA,STREET,,,,,,,,,,,,,,,,,,,,,,,CARLTON,MELBOURNE,2,B,,,0.0,,,,1,DS,,2308815,13697065,1269,2000/12/17,0,2006/03/27
"LINESTRING (144.972734113 -37.81068617599999,144.97282999200002 -37.81089310499999)",11769122,16235126,road,0,SPRING STREET,Spring St,SPRING,STREET,,,,,,,,,,,,,,,,,,,,,,,EAST MELBOURNE,MELBOURNE,3,B,,,0.0,,,,1,U,,2310480,16235374,1269,2006/03/27,5674088,2006/03/27
"LINESTRING (144.97282999200002 -37.81089310499999,144.97288259000004 -37.811006615999986)",11769123,16235127,road,0,SPRING STREET,Spring St,SPRING,STREET,,,,,,,,,,,,,,,,,,,,,,,EAST MELBOURNE,MELBOURNE,3,B,,,0.0,,,,1,U,,16235374,2310631,1269,2006/03/27,5674088,2006/03/27
"LINESTRING (144.97304617200007 -37.811359666999977,144.97331483000005 -37.811939478999989)",11769124,16235128,road,0,SPRING STREET,Spring St,SPRING,STREET,,,,,,,,,,,,,,,,,,,,,,,EAST MELBOURNE,MELBOURNE,3,B,,,0.0,,,,1,U,,2310797,16235392,1269,2006/03/27,5674818,2006/03/27
"LINESTRING (144.97331483000005 -37.811939478999989,144.973498662 -37.812336204999951)",11769125,16235129,road,0,SPRING STREET,Spring St,SPRING,STREET,,,,,,,,,,,,,,,,,,,,,,,EAST MELBOURNE,MELBOURNE,3,B,,,0.0,,,,1,U,,16235392,2311276,1269,2006/03/27,5674818,2006/03/27
"LINESTRING (144.95004314000005 -37.803527887999962,144.94998932700003 -37.80381743199996,144.95021500200005 -37.803847375999965,144.95018174400002 -37.804015156999981)",11768956,16234720,road,0,UNNAMED,Unnamed,UNNAMED,,,,,,,,,,,,,,,,,,,,,,,,NORTH MELBOURNE,NORTH MELBOURNE,5,B,,,0.0,,,,1,ND,,16234969,16234970,5533,2006/03/27,0,2006/03/27
"LINESTRING (144.94954971700008 -37.80346971099999,144.95004314000005 -37.803527887999962)",11758983,16234749,road,0,GEORGE JOHNSON LANE,George Johnson Lane,GEORGE JOHNSON,LANE,,,,,,,,,,,,,,,,,,,,,,,NORTH MELBOURNE,NORTH MELBOURNE,5,B,,,0.0,,,,1,ND,,16185882,16234969,5526,2006/02/02,0,2006/03/27
"LINESTRING (144.97177092700008 -37.81799680099999,144.97301909500004 -37.817597439)",11789167,16287668,road,0,UNNAMED,Unnamed,UNNAMED,,,,,,,,,,,,,,,,,,,,,,,,MELBOURNE,MELBOURNE,12,B,,,0.0,,,,2,ND,,16288070,16288067,5538,2006/05/09,0,2006/05/09
"LINESTRING (144.97301909500004 -37.817597439,144.97323980600004 -37.817868257999976)",11789168,16287669,road,0,UPPER TERRACE,Upper Tce,UPPER,TERRACE,,,,,,,,,,,,,,,,,,,,,,,MELBOURNE,MELBOURNE,12,B,,,0.0,,,,1,ND,,16288067,16288068,5538,2006/05/09,0,2006/05/09
"LINESTRING (144.95349312899998 -37.800867388999961,144.95335001700005 -37.800980202,144.95329985199999 -37.801011421)",11771030,16240020,road,0,WRECKYN STREET,Wreckyn St,WRECKYN,STREET,,,,,,,,,,,,,,,,,,,,,,,NORTH MELBOURNE,NORTH MELBOURNE,3,B,,,0.0,,,,1,DS,,2305741,16240804,1269,2006/03/30,5668637,2006/03/30
"LINESTRING (144.95329985199999 -37.801011421,144.95332978700003 -37.801044255999955,144.95342746400001 -37.801119879999987,144.95357793599999 -37.801098601999968,144.95362556100008 -37.80113453499996,144.95367975500005 -37.80117897599996,144.95372178399998 -37.80121190599999,144.95375624400003 -37.801236462999952,144.95379034000007 -37.80126140699997,144.95381643500002 -37.801279715999954,144.95385302700004 -37.801308111999958)",11771032,16240022,road,0,UNNAMED,Unnamed,UNNAMED,,,,,,,,,,,,,,,,,,,,,,,,NORTH MELBOURNE,NORTH MELBOURNE,6,B,,,0.0,,,,1,ND,V29295,16240804,16240805,5526,2006/03/30,0,2006/03/30
"LINESTRING (144.95094229699998 -37.804102769,144.95018174400002 -37.804015156999981)",11768919,16234650,road,0,LITTLE ERROL STREET,Little Errol St,LITTLE ERROL,STREET,,,,,,,,,,,,,,,,,,,,,,,NORTH MELBOURNE,NORTH MELBOURNE,5,B,,,0.0,,,,1,U,,2307390,16234970,257,2006/03/27,5670277,2006/03/27
"LINESTRING (144.95018174400002 -37.804015156999981,144.95004630300002 -37.803999548999968)",11768920,16234651,road,0,LITTLE ERROL STREET,Little Errol St,LITTLE ERROL,STREET,,,,,,,,,,,,,,,,,,,,,,,NORTH MELBOURNE,NORTH MELBOURNE,5,B,,,0.0,,,,1,U,,16234970,2307326,257,2006/03/27,5670277,2006/03/27
"LINESTRING (144.97784988000001 -37.81263798699996,144.97774648699999 -37.81324866)",10086916,16235166,road,0,LANSDOWNE STREET,Lansdowne St,LANSDOWNE,STREET,,,,,,,,,,,,,,,,,,,,,,,EAST MELBOURNE,EAST MELBOURNE,2,B,,,0.0,,,,1,DS,,16235407,12493878,1487,2003/01/07,5676622,2006/03/27
"LINESTRING (144.97793854600002 -37.81212799799999,144.97784988000001 -37.81263798699996)",5674933,16235167,road,0,LANSDOWNE STREET,Lansdowne St,LANSDOWNE,STREET,,,,,,,,,,,,,,,,,,,,,,,EAST MELBOURNE,EAST MELBOURNE,2,B,,,0.0,,,,1,DS,,2311166,16235407,1487,2000/12/17,0,2006/03/27
"LINESTRING (144.97101951100001 -37.799738008999952,144.97092496599998 -37.799626710999974,144.97055939100005 -37.79958901399999)",10254157,16554489,road,0,SILVER TOP TERRACE,Silver Top Tce,SILVER TOP,TERRACE,,,,,,,,,,,,,,,,,,,,,,,CARLTON,CARLTON,5,B,,,0.0,,,,1,U,,12878583,12878582,5025,2003/09/16,0,2007/02/14
"LINESTRING (144.97702647699998 -37.816201077999949,144.97642823000001 -37.816118384999982)",12958582,18398841,road,0,WELLINGTON PARADE S,Wellington Pde South,WELLINGTON,PARADE,S,,,,,,,,,,,,,,,,,,,,,,MELBOURNE,EAST MELBOURNE,3,B,,,0.0,,,,1,U,,18398921,18145881,2428,2007/05/31,5677017,2007/07/18
"LINESTRING (144.97642823000001 -37.816118384999982,144.97514832000002 -37.815945863999957,144.97481227600008 -37.815900564,144.97471202700001 -37.815887046)",12958583,18145575,road,0,WELLINGTON PARADE S,Wellington Pde South,WELLINGTON,PARADE,S,,,,,,,,,,,,,,,,,,,,,,MELBOURNE,EAST MELBOURNE,3,B,,,0.0,,,,1,U,,18145881,2313054,2428,2007/05/31,5677017,2007/05/31
"LINESTRING (144.95902442600004 -37.819926045999978,144.95864108900003 -37.820049208)",12579957,17720417,road,0,FLINDERS STREET,Flinders St,FLINDERS,STREET,,,,,,,,,,,,,,,,,,,,,,,MELBOURNE,MELBOURNE,3,B,,,0.0,,,,1,U,,16134148,17720441,1294,2007/05/14,11748051,2007/05/14
"LINESTRING (144.95864108900003 -37.820049208,144.95827104199998 -37.82016809299995)",12579958,17720418,road,0,FLINDERS STREET,Flinders St,FLINDERS,STREET,,,,,,,,,,,,,,,,,,,,,,,MELBOURNE,MELBOURNE,3,B,,,0.0,,,,1,U,,17720441,16134149,1294,2007/05/14,11748051,2007/05/14
